Datetime,Close,High,Low,Open,Volume
2025-06-16 03:00:00+00:00,57200,57300,57100,57300,108103
2025-06-16 03:01:00+00:00,57100,57200,57100,57200,13514
2025-06-16 03:02:00+00:00,57100,57200,57100,57200,21355
2025-06-16 03:03:00+00:00,57200,57200,57100,57200,18396
2025-06-16 03:04:00+00:00,57100,57200,57100,57200,9344
2025-06-16 03:05:00+00:00,57100,57200,57100,57100,6947
2025-06-16 03:06:00+00:00,57200,57200,57100,57200,7798
2025-06-16 03:07:00+00:00,57200,57200,57100,57100,13766
2025-06-16 03:08:00+00:00,57200,57200,57100,57100,25297
2025-06-16 03:09:00+00:00,57100,57200,57100,57150,15413
2025-06-16 03:10:00+00:00,57100,57150,57100,57100,8558
2025-06-16 03:11:00+00:00,57150,57150,57100,57100,8552
2025-06-16 03:12:00+00:00,57150,57150,57100,57150,10669
2025-06-16 03:13:00+00:00,57100,57200,57100,57100,16266
2025-06-16 03:14:00+00:00,57100,57150,57100,57100,9266
2025-06-16 03:15:00+00:00,57100,57150,57100,57100,78929
2025-06-16 03:16:00+00:00,57100,57150,57100,57100,55718
2025-06-16 03:17:00+00:00,57150,57150,57100,57150,9587
2025-06-16 03:18:00+00:00,57100,57150,57100,57100,15028
2025-06-16 03:19:00+00:00,57100,57200,57100,57100,14586
2025-06-16 03:20:00+00:00,57150,57150,57100,57100,8677
2025-06-16 03:21:00+00:00,57200,57200,57100,57150,14762
2025-06-16 03:22:00+00:00,57100,57200,57100,57100,13410
2025-06-16 03:23:00+00:00,57100,57200,57100,57100,10993
2025-06-16 03:24:00+00:00,57150,57200,57100,57100,17062
2025-06-16 03:25:00+00:00,57200,57200,57100,57200,17378
2025-06-16 03:26:00+00:00,57100,57200,57100,57100,14885
2025-06-16 03:27:00+00:00,57150,57200,57100,57150,13031
2025-06-16 03:28:00+00:00,57150,57200,57100,57100,10275
2025-06-16 03:29:00+00:00,57100,57150,57100,57100,23515
2025-06-16 03:30:00+00:00,57100,57150,57100,57100,11111
2025-06-16 03:31:00+00:00,57150,57150,57100,57100,13667
2025-06-16 03:32:00+00:00,57100,57150,57100,57150,11872
2025-06-16 03:33:00+00:00,57100,57150,57100,57100,16670
2025-06-16 03:34:00+00:00,57100,57150,57100,57100,16835
2025-06-16 03:35:00+00:00,57150,57150,57100,57150,11693
2025-06-16 03:36:00+00:00,57100,57150,57100,57100,12804
2025-06-16 03:37:00+00:00,57100,57150,57100,57100,10381
2025-06-16 03:38:00+00:00,57100,57150,57100,57100,14633
2025-06-16 03:39:00+00:00,57100,57150,57100,57150,13316
2025-06-16 03:40:00+00:00,57100,57150,57100,57150,8742
2025-06-16 03:41:00+00:00,57150,57150,57100,57150,12492
2025-06-16 03:42:00+00:00,57100,57150,57100,57100,17314
2025-06-16 03:43:00+00:00,57150,57150,57100,57100,9393
2025-06-16 03:44:00+00:00,57150,57150,57100,57100,18409
2025-06-16 03:45:00+00:00,57150,57150,57100,57150,8342
2025-06-16 03:46:00+00:00,57150,57150,57100,57150,9431
2025-06-16 03:47:00+00:00,57100,57150,57100,57100,10122
2025-06-16 03:48:00+00:00,57100,57150,57100,57100,6666
2025-06-16 03:49:00+00:00,57100,57150,57100,57100,22356
2025-06-16 03:50:00+00:00,57100,57150,57100,57100,6821
2025-06-16 03:51:00+00:00,57100,57150,57100,57100,11147
2025-06-16 03:52:00+00:00,57150,57150,57100,57100,8554
2025-06-16 03:53:00+00:00,57100,57150,57100,57150,12849
2025-06-16 03:54:00+00:00,57150,57150,57100,57150,9902
2025-06-16 03:55:00+00:00,57150,57150,57100,57150,23993
2025-06-16 03:56:00+00:00,57150,57150,57100,57100,19522
2025-06-16 03:57:00+00:00,57100,57150,57100,57100,17906
2025-06-16 03:58:00+00:00,57100,57150,57000,57100,259068
2025-06-16 03:59:00+00:00,57100,57100,57000,57000,15870
2025-06-16 04:00:00+00:00,57100,57100,57000,57100,24106
2025-06-16 04:01:00+00:00,57050,57100,57050,57050,14119
2025-06-16 04:02:00+00:00,57100,57100,57050,57100,11267
2025-06-16 04:03:00+00:00,57050,57100,57050,57050,21742
2025-06-16 04:04:00+00:00,57100,57100,57050,57100,23028
2025-06-16 04:05:00+00:00,57100,57100,57050,57100,30128
2025-06-16 04:06:00+00:00,57100,57200,57000,57100,389946
2025-06-16 04:07:00+00:00,57100,57100,57050,57050,20713
2025-06-16 04:08:00+00:00,57100,57100,57050,57100,14315
2025-06-16 04:09:00+00:00,57100,57100,57000,57100,14448
2025-06-16 04:10:00+00:00,57100,57100,57000,57050,9094
2025-06-16 04:11:00+00:00,57000,57100,57000,57100,13349
2025-06-16 04:12:00+00:00,57050,57100,57000,57050,16392
2025-06-16 04:13:00+00:00,57000,57100,57000,57100,16308
2025-06-16 04:14:00+00:00,57000,57100,57000,57000,12948
2025-06-16 04:15:00+00:00,57050,57050,57000,57000,8097
2025-06-16 04:16:00+00:00,57050,57050,57000,57050,11433
2025-06-16 04:17:00+00:00,57000,57050,57000,57000,13888
2025-06-16 04:18:00+00:00,57000,57050,57000,57050,13010
2025-06-16 04:19:00+00:00,57000,57050,57000,57050,15700
2025-06-16 04:20:00+00:00,57050,57050,57000,57050,17241
2025-06-16 04:21:00+00:00,57000,57050,57000,57000,18431
2025-06-16 04:22:00+00:00,57000,57050,57000,57050,17309
